Team,Sex,Age,NOC,Games,Year,Sport,Event,Medal,AgeGroup,Total_Gold_Medals,Total_Silver_Medals,Total_Bronze_Medals,Total_Historical_Medals,Total_Medal_Value,Cluster,Sponsorship_Prediction
A North American Team,M,38.0,MEX,1900 Summer,1900,Polo,Polo Men's Polo,Bronze,35-39,0.0,0.0,4.0,4.0,4.0,0,Low Probability
Afghanistan,M,21.0,AFG,2008 Summer,2008,Taekwondo,Taekwondo Men's Flyweight,Bronze,20-24,0.0,0.0,2.0,2.0,2.0,0,Low Probability
Algeria,M,26.0,ALG,2000 Summer,2000,Boxing,Boxing Men's Light-Welterweight,Bronze,25-29,5.0,4.0,8.0,17.0,31.0,0,Low Probability
Ali-Baba II,M,28.0,SWE,1948 Summer,1948,Sailing,Sailing Mixed 6 metres,Bronze,25-29,0.0,0.0,5.0,5.0,5.0,0,Low Probability
Amateur Athletic Association,M,29.0,GBR,1900 Summer,1900,Athletics,"Athletics Men's 5,000 metres, Team",Gold,25-29,5.0,0.0,0.0,5.0,15.0,0,Low Probability
Amstel Amsterdam,M,20.0,NED,1908 Summer,1908,Rowing,Rowing Men's Coxless Fours,Bronze,20-24,0.0,0.0,4.0,4.0,4.0,0,Low Probability
Ancora,M,36.0,GBR,1920 Summer,1920,Sailing,Sailing Mixed 7 metres,Gold,35-39,4.0,0.0,0.0,4.0,12.0,0,Low Probability
Angelita,M,20.0,USA,1932 Summer,1932,Sailing,Sailing Mixed 8 metres,Gold,20-24,12.0,0.0,0.0,12.0,36.0,0,Low Probability
Antwerpia V,M,37.0,BEL,1920 Summer,1920,Sailing,Sailing Mixed 8 metres,Bronze,35-39,0.0,0.0,5.0,5.0,5.0,0,Low Probability
Aphrodite,M,33.0,USA,1964 Summer,1964,Sailing,Sailing Mixed Three Person Keelboat,Bronze,30-34,0.0,0.0,3.0,3.0,3.0,0,Low Probability
Argentina,M,20.0,ARG,2008 Summer,2008,Football,Football Men's Football,Gold,20-24,91.0,84.0,91.0,266.0,532.0,0,Low Probability
Argonaut Rowing Club,M,25.0,CAN,1908 Summer,1908,Rowing,Rowing Men's Coxless Fours,Bronze,25-29,0.0,0.0,6.0,6.0,6.0,0,Low Probability
Armenia,M,20.0,ARM,2012 Summer,2012,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze,20-24,2.0,5.0,9.0,16.0,25.0,0,Low Probability
Aschenbrodel,M,25.556898357297374,GER,1900 Summer,1900,Sailing,Sailing Mixed Open,Silver,25-29,4.0,4.0,0.0,8.0,20.0,0,Low Probability
Atalanta Boat Club-1,M,27.0,USA,1904 Summer,1904,Rowing,Rowing Men's Double Sculls,Gold,25-29,2.0,0.0,0.0,2.0,6.0,0,Low Probability
Atalanta Boat Club-2,M,27.0,USA,1904 Summer,1904,Rowing,Rowing Men's Coxless Pairs,Silver,25-29,0.0,2.0,0.0,2.0,4.0,0,Low Probability
Atlanta,M,25.0,NOR,1920 Summer,1920,Sailing,Sailing Mixed 12 metres,Gold,25-29,9.0,0.0,0.0,9.0,27.0,0,Low Probability
Australasia,M,24.0,ANZ,1908 Summer,1908,Boxing,Boxing Men's Middleweight,Silver,20-24,20.0,4.0,5.0,29.0,73.0,0,Low Probability
Australia,M,21.0,AUS,2008 Summer,2008,Hockey,Hockey Men's Hockey,Bronze,20-24,342.0,453.0,511.0,1306.0,2443.0,2,High Probability
Australia-1,F,21.0,AUS,1996 Summer,1996,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Bronze,20-24,2.0,0.0,2.0,4.0,8.0,0,Low Probability
Australia/Great Britain,M,22.0,AUS,1896 Summer,1896,Tennis,Tennis Men's Doubles,Bronze,20-24,0.0,0.0,2.0,2.0,2.0,0,Low Probability
Austria,F,16.0,AUT,1912 Summer,1912,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze,15-19,95.0,168.0,150.0,413.0,771.0,0,Low Probability
Austria-1,M,30.0,AUT,1992 Winter,1992,Bobsleigh,Bobsleigh Men's Four,Gold,30-34,12.0,16.0,4.0,32.0,72.0,0,Low Probability
Austria-2,F,21.0,AUT,1928 Winter,1928,Figure Skating,Figure Skating Mixed Pairs,Bronze,20-24,0.0,2.0,2.0,4.0,6.0,0,Low Probability
Azerbaijan,F,21.0,AZE,2016 Summer,2016,Taekwondo,Taekwondo Women's Flyweight,Bronze,20-24,7.0,12.0,25.0,44.0,70.0,0,Low Probability
"BLO Polo Club, Rugby",M,27.0,GBR,1900 Summer,1900,Polo,Polo Men's Polo,Silver,25-29,0.0,4.0,0.0,4.0,8.0,0,Low Probability
Baby-1,M,25.556898357297374,FRA,1900 Summer,1900,Sailing,Sailing Mixed 0-0.5 Ton,Gold,25-29,1.0,0.0,1.0,2.0,4.0,0,Low Probability
"Bagatelle Polo Club, Paris",M,32.0,FRA,1900 Summer,1900,Polo,Polo Men's Polo,Bronze,30-34,0.0,0.0,4.0,4.0,4.0,0,Low Probability
Bahamas,M,22.0,BAH,2008 Summer,2008,Athletics,Athletics Men's 4 x 400 metres Relay,Silver,20-24,12.0,11.0,13.0,36.0,71.0,0,Low Probability
Bahrain,F,27.0,BRN,2012 Summer,2012,Athletics,"Athletics Women's 1,500 metres",Bronze,25-29,1.0,1.0,1.0,3.0,6.0,0,Low Probability
Ballerina IV,M,52.0,SUI,1960 Summer,1960,Sailing,Sailing Mixed 5.5 metres,Bronze,50-54,0.0,0.0,3.0,3.0,3.0,0,Low Probability
Barbados,M,24.0,BAR,2000 Summer,2000,Athletics,Athletics Men's 100 metres,Bronze,20-24,0.0,0.0,1.0,1.0,1.0,0,Low Probability
Barion/Bari-2,M,25.556898357297374,ITA,1906 Summer,1906,Rowing,Rowing Men's Coxed Pairs (1 kilometres),Silver,25-29,0.0,3.0,0.0,3.0,6.0,0,Low Probability
Barrenjoey,M,59.0,AUS,1964 Summer,1964,Sailing,Sailing Mixed 5.5 metres,Gold,55-59,3.0,0.0,0.0,3.0,9.0,0,Low Probability
Beatrijs III-1,M,50.0,NED,1920 Summer,1920,Sailing,Sailing Mixed 12 foot,Gold,50-54,3.0,0.0,0.0,3.0,9.0,0,Low Probability
Belarus,M,28.0,BLR,2008 Summer,2008,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold,25-29,24.0,44.0,71.0,139.0,231.0,0,Low Probability
Belgium,M,44.0,BEL,1920 Summer,1920,Archery,"Archery Men's Target Archery, 28 metres, Team",Silver,40-44,94.0,161.0,154.0,409.0,758.0,0,Low Probability
Belgium-1,M,25.556898357297374,BEL,1924 Winter,1924,Bobsleigh,Bobsleigh Men's Four/Five,Bronze,25-29,1.0,0.0,5.0,6.0,8.0,0,Low Probability
Bem II,M,49.0,NED,1936 Summer,1936,Sailing,Sailing Mixed Two Person Keelboat,Bronze,45-49,0.0,0.0,2.0,2.0,2.0,0,Low Probability
Bera,M,21.0,NOR,1924 Summer,1924,Sailing,Sailing Mixed 8 metres,Gold,20-24,5.0,0.0,0.0,5.0,15.0,0,Low Probability
Berliner Ruderclub,M,25.556898357297374,GER,1908 Summer,1908,Rowing,Rowing Men's Coxless Pairs,Bronze,25-29,0.0,0.0,2.0,2.0,2.0,0,Low Probability
Berliner Ruderverein von 1876-2,M,25.0,GER,1912 Summer,1912,Rowing,Rowing Men's Coxed Eights,Bronze,25-29,0.0,0.0,9.0,9.0,9.0,0,Low Probability
Bermuda,M,25.0,BER,1976 Summer,1976,Boxing,Boxing Men's Heavyweight,Bronze,25-29,0.0,0.0,1.0,1.0,1.0,0,Low Probability
Bingo,M,26.0,USA,1964 Summer,1964,Sailing,Sailing Mixed 5.5 metres,Bronze,25-29,0.0,0.0,3.0,3.0,3.0,0,Low Probability
Bissbi,M,20.0,SWE,1932 Summer,1932,Sailing,Sailing Mixed 6 metres,Gold,20-24,4.0,0.0,0.0,4.0,12.0,0,Low Probability
Bluebottle,M,34.0,GBR,1956 Summer,1956,Sailing,Sailing Mixed Three Person Keelboat,Bronze,30-34,0.0,0.0,3.0,3.0,3.0,0,Low Probability
Bohemia,M,38.0,BOH,1908 Summer,1908,Fencing,"Fencing Men's Sabre, Individual",Bronze,35-39,0.0,1.0,10.0,11.0,12.0,0,Low Probability
Bohemia/Great Britain,F,35.0,BOH,1900 Summer,1900,Tennis,Tennis Mixed Doubles,Bronze,35-39,0.0,0.0,2.0,2.0,2.0,0,Low Probability
Bona Fide,M,50.0,GBR,1900 Summer,1900,Sailing,Sailing Mixed 3-10 Ton,Gold,50-54,3.0,0.0,0.0,3.0,9.0,0,Low Probability
Bonaparte,F,46.0,GER,2008 Summer,2008,Equestrianism,"Equestrianism Mixed Dressage, Team",Gold,45-49,1.0,0.0,0.0,1.0,3.0,0,Low Probability
Bonzo,M,43.0,DEN,1924 Summer,1924,Sailing,Sailing Mixed 6 metres,Silver,40-44,0.0,3.0,0.0,3.0,6.0,0,Low Probability
Boreas-2,M,20.0,NED,1920 Summer,1920,Sailing,Sailing Mixed 12 foot,Silver,20-24,0.0,2.0,0.0,2.0,4.0,0,Low Probability
Boston Archers,M,26.0,USA,1904 Summer,1904,Archery,Archery Men's Team Round,Bronze,25-29,0.0,0.0,4.0,4.0,4.0,0,Low Probability
Botswana,M,18.0,BOT,2012 Summer,2012,Athletics,Athletics Men's 800 metres,Silver,15-19,0.0,1.0,0.0,1.0,2.0,0,Low Probability
Brazil,M,24.0,BRA,1984 Summer,1984,Football,Football Men's Football,Silver,20-24,103.0,161.0,185.0,449.0,816.0,0,Low Probability
Brazil-1,M,26.0,BRA,2012 Summer,2012,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Silver,25-29,6.0,12.0,2.0,20.0,44.0,0,Low Probability
Brazil-2,M,35.0,BRA,2008 Summer,2008,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Bronze,35-39,0.0,2.0,4.0,6.0,8.0,0,Low Probability
Brussels Swimming and Water Polo Club,M,25.556898357297374,BEL,1900 Summer,1900,Water Polo,Water Polo Men's Water Polo,Silver,25-29,0.0,10.0,0.0,10.0,20.0,0,Low Probability
Brynhild-2,M,44.0,GBR,1900 Summer,1900,Sailing,Sailing Mixed 20+ Ton,Silver,40-44,0.0,1.0,0.0,1.0,2.0,0,Low Probability
Bucintoro Venezia,M,25.0,ITA,1906 Summer,1906,Rowing,Rowing Men's Coxed Pairs (1 mile),Gold,25-29,8.0,0.0,0.0,8.0,24.0,0,Low Probability
Bucintoro Venezia-1,M,25.0,ITA,1906 Summer,1906,Rowing,Rowing Men's Coxed Pairs (1 kilometres),Gold,25-29,3.0,0.0,0.0,3.0,9.0,0,Low Probability
Bulgaria,M,29.0,BUL,1980 Summer,1980,Wrestling,"Wrestling Men's Middleweight, Freestyle",Gold,25-29,54.0,144.0,144.0,342.0,594.0,0,Low Probability
Buraddoo,M,39.0,AUS,1956 Summer,1956,Sailing,Sailing Mixed 5.5 metres,Bronze,35-39,0.0,0.0,3.0,3.0,3.0,0,Low Probability
