Team,Sex,Age,NOC,Games,Year,Sport,Event,Medal,AgeGroup,Total_Gold_Medals,Total_Silver_Medals,Total_Bronze_Medals,Total_Historical_Medals,Total_Medal_Value,Cluster,Sponsorship_Prediction
Great Britain/Germany,M,25.0,GBR,1896 Summer,1896,Tennis,Tennis Men's Doubles,Gold,25-29,2.0,0.0,0.0,2.0,6.0,0,Low Probability
Greece,F,17.0,GRE,2000 Summer,2000,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Bronze,15-19,42.0,70.0,62.0,174.0,328.0,0,Low Probability
Greece-1,M,25.556898357297374,GRE,1906 Summer,1906,Tennis,Tennis Men's Doubles,Silver,25-29,0.0,6.0,0.0,6.0,12.0,0,Low Probability
Greece-2,M,26.0,GRE,1906 Summer,1906,Tennis,Tennis Mixed Doubles,Bronze,25-29,0.0,0.0,2.0,2.0,2.0,0,Low Probability
Grenada,M,19.0,GRN,2012 Summer,2012,Athletics,Athletics Men's 400 metres,Gold,15-19,1.0,1.0,0.0,2.0,5.0,0,Low Probability
Guatemala,M,21.0,GUA,2012 Summer,2012,Athletics,Athletics Men's 20 kilometres Walk,Silver,20-24,0.0,1.0,0.0,1.0,2.0,0,Low Probability
Gustel X,M,40.0,GER,1952 Summer,1952,Sailing,Sailing Mixed Three Person Keelboat,Bronze,40-44,0.0,0.0,3.0,3.0,3.0,0,Low Probability
Guyana,M,22.0,GUY,1980 Summer,1980,Boxing,Boxing Men's Bantamweight,Bronze,20-24,0.0,0.0,1.0,1.0,1.0,0,Low Probability
Guyoni,M,36.0,FRA,1908 Summer,1908,Sailing,Sailing Mixed 6 metres,Bronze,35-39,0.0,0.0,3.0,3.0,3.0,0,Low Probability
Gwendoline-2,M,25.556898357297374,FRA,1900 Summer,1900,Sailing,Sailing Mixed 2-3 Ton,Bronze,25-29,0.0,0.0,3.0,3.0,3.0,0,Low Probability
Gyrinus-1,M,29.0,GBR,1908 Summer,1908,Motorboating,Motorboating Mixed B-Class (Under 60 Feet),Gold,25-29,6.0,0.0,0.0,6.0,18.0,0,Low Probability
Haiti,M,25.556898357297374,HAI,1924 Summer,1924,Shooting,"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team",Bronze,25-29,0.0,1.0,5.0,6.0,7.0,0,Low Probability
Heatherbell,M,20.0,FIN,1912 Summer,1912,Sailing,Sailing Mixed 12 metres,Bronze,20-24,0.0,0.0,7.0,7.0,7.0,0,Low Probability
Heira II,M,44.0,NOR,1920 Summer,1920,Sailing,Sailing Mixed 12 metres,Gold,40-44,9.0,0.0,0.0,9.0,27.0,0,Low Probability
Hera-1,M,36.0,GBR,1908 Summer,1908,Sailing,Sailing Mixed 12 metres,Gold,35-39,10.0,0.0,0.0,10.0,30.0,0,Low Probability
Heroine,M,44.0,GBR,1908 Summer,1908,Sailing,Sailing Mixed 7 metres,Gold,40-44,4.0,0.0,0.0,4.0,12.0,0,Low Probability
Hi-Hi,M,30.0,DEN,1928 Summer,1928,Sailing,Sailing Mixed 6 metres,Silver,30-34,0.0,4.0,0.0,4.0,8.0,0,Low Probability
Hilarius,M,22.0,USA,1948 Summer,1948,Sailing,Sailing Mixed Two Person Keelboat,Gold,20-24,2.0,0.0,0.0,2.0,6.0,0,Low Probability
Hojwa,M,31.0,SWE,1952 Summer,1952,Sailing,Sailing Mixed 5.5 metres,Bronze,30-34,0.0,0.0,3.0,3.0,3.0,0,Low Probability
Hollandia,M,44.0,NED,1928 Summer,1928,Sailing,Sailing Mixed 8 metres,Silver,40-44,0.0,6.0,0.0,6.0,12.0,0,Low Probability
Hong Kong,F,25.0,HKG,1996 Summer,1996,Sailing,Sailing Women's Windsurfer,Gold,25-29,1.0,0.0,1.0,2.0,4.0,0,Low Probability
